destination;Afghanistan;Albania;Algeria;American_Samoa;Andorra;Angola;Anguilla;Antigua_and_Barbuda;Argentina;Armenia;Aruba;Australia;Austria;Azerbaijan;Bahamas;Bahrain;Bangladesh;Barbados;Belarus;Belgium;Belize;Benin;Bermuda;Bhutan;Bolivia_(Plurinational_State_of);Bonaire_Sint_Eustatius_and_Saba;Bosnia_and_Herzegovina;Botswana;Brazil;British_Virgin_Islands;Brunei_Darussalam;Bulgaria;Burkina_Faso;Burundi;Cabo_Verde;Cambodia;Cameroon;Canada;Cayman_Islands;Central_African_Republic;Chad;Channel_Islands;Chile;China;Hong_Kong;Macao;Colombia;Comoros;Congo;Cook_Islands;Costa_Rica;C?te_d'Ivoire;Croatia;Cuba;Cura?ao;Cyprus;Czech_Republic;Democratic_People's_Republic_of_Korea;Democratic_Republic_of_the_Congo;Denmark;Djibouti;Dominica;Dominican_Republic;Ecuador;Egypt;El_Salvador;Equatorial_Guinea;Eritrea;Estonia;Ethiopia;Faeroe_Islands;Falkland_Islands_(Malvinas);Fiji;Finland;France;French_Guiana;French_Polynesia;Gabon;Gambia;Georgia;Germany;Ghana;Gibraltar;Greece;Greenland;Grenada;Guadeloupe;Guam;Guatemala;Guinea;Guinea-Bissau;Guyana;Haiti;Holy_See;Honduras;Hungary;Iceland;India;Indonesia;Iran_(Islamic_Republic_of);Iraq;Ireland;Isle_of_Man;Israel;Italy;Jamaica;Japan;Jordan;Kazakhstan;Kenya;Kiribati;Kuwait;Kyrgyzstan;Lao_People's_Democratic_Republic;Latvia;Lebanon;Lesotho;Liberia;Libya;Liechtenstein;Lithuania;Luxembourg;Madagascar;Malawi;Malaysia;Maldives;Mali;Malta;Marshall_Islands;Martinique;Mauritania;Mauritius;Mayotte;Mexico;Micronesia_(Federated_States_of);Monaco;Mongolia;Montenegro;Montserrat;Morocco;Mozambique;Myanmar;Namibia;Nauru;Nepal;Netherlands;New_Caledonia;New_Zealand;Nicaragua;Niger;Nigeria;Niue;Northern_Mariana_Islands;Norway;Oman;Pakistan;Palau;Panama;Papua_New_Guinea;Paraguay;Peru;Philippines;Poland;Portugal;Puerto_Rico;Qatar;Republic_of_Korea;Republic_of_Moldova;R?union;Romania;Russian_Federation;Rwanda;Saint_Helena;Saint_Kitts_and_Nevis;Saint_Lucia;Saint_Pierre_and_Miquelon;Saint_Vincent_and_the_Grenadines;Samoa;San_Marino;Sao_Tome_and_Principe;Saudi_Arabia;Senegal;Serbia;Seychelles;Sierra_Leone;Singapore;Sint_Maarten_(Dutch_part);Slovakia;Slovenia;Solomon_Islands;Somalia;South_Africa;South_Sudan;Spain;Sri_Lanka;State_of_Palestine;Sudan;Suriname;Swaziland;Sweden;Switzerland;Syrian_Arab_Republic;Tajikistan;Thailand;The_former_Yugoslav_Republic_of_Macedonia;Timor-Leste;Togo;Tokelau;Tonga;Trinidad_and_Tobago;Tunisia;Turkey;Turkmenistan;Turks_and_Caicos_Islands;Tuvalu;Uganda;Ukraine;United_Arab_Emirates;United_Kingdom_of_Great_Britain_and_Northern_Ireland;United_Republic_of_Tanzania;United_States_of_America;United_States_Virgin_Islands;Uruguay;Uzbekistan;Vanuatu;Venezuela_(Bolivarian_Republic_of);Viet_Nam;Wallis_and_Futuna_Islands;Western_Sahara;Yemen;Zambia;Zimbabwe;;
Afghanistan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17225;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;36733;;;;;;;;;;;;;;;;;;;;;1836;;;;;;;;;Tajikistan;36733
Albania;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1244;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;43331;;;;;;;;;;;;;;;;;;;;;12200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;732;;;;;;;2690;;;;;;;;;3255;;;;;;;;;;;;Greece;43331
Algeria;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1321;;;;;;3661;;;;;;;;;;;;;;;;;;1223;;4249;;;;1942;;;2272;;;;1308;;;;1395;;;2154;;;;;;1264;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3545;;;;;;;;;;3497;;;;;;;;;;6248;;;;;33836;5362;;;;;3312;;;;;;;;;;;;;;;;;1430;;2802;;;;;;;;166903;2480;;;Western_Sahara;166903
American_Samoa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;101;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;233;;;;;;;;;;;;;;520;;;;;192;;;;;;;;;;;16157;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29;1223;;;;;;;;;;;;3544;;;;;;102;;;;;;Samoa;16157
Andorra;;;;;;;;;118;;;39;;;;;;;;241;;;;;;;;;;;;;;;;;;;;;;;63;;;;;;;;;;;;;;;;;111;;;;;;;;;;;;;;;4216;;;;;;351;;;;;;;;;;;;;;;;;;;;;;;;130;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;383;;;;;;209;;;;;;;;;;;;;;;;222;;5364;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26972;;;;;;52;69;;;;;;;;;;;;;;;;;;975;;95;;78;;;;;;;;;;Spain;26972
Angola;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4147;;;;;;14;;;;;;;;477;;;6;;;;;;;14957;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;152;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;113;;401;;;;;;;;;;;;;;;;;;;;;6156;;;;;;;;115;;;;;;;;3617;;;;;;;;;;;;2832;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;139;;Democratic_Republic_of_the_Congo;14957
Anguilla;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;61;;;;;;;;;;;;;;;;;;;;;;;;;415;;;;;;;;;;;;;;;;;;;;;;;;;;;;;245;;;;;;;;;;;;;;292;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;180;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;540;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;259;;310;261;;;;;;;;;;;Saint_Kitts_and_Nevis;540
Antigua_and_Barbuda;;;;;;;25;;;;6;7;;;4;;;226;;;10;;10;;;7;;;;73;;;;;;;;287;;;;;;84;;;;;;;;;;15;13;;;;;;;3170;1044;;10;;;;;38;;;;;33;4;;;;;57;18;;;;137;54;;;;;3489;19;;5;;;49;;;;;;;54;1832;10;;;;;;;;;46;;;;;;;;;;;;;;5;;;;4;;;;;890;;;;;;;15;;7;;;34;;;;;4;;;;;;;;;37;;;;;;;;;430;474;;616;;;;;;;;;;14;;;;;28;;8;;;;23;;;;171;;;;;;;;474;;;;5;;;;;720;;1733;440;;;;22;;;;;;;Guyana;3489
Argentina;20;144;224;;1;20;;;;1207;1;600;3201;;;27;;16;653;1138;12;;;;186685;;;;33642;;2;796;25;;50;45;;953;;;;;214736;5850;9;;3162;;90;;359;1;2119;1873;;101;3852;30;;527;;9;849;1501;510;169;;;106;69;;;1;152;6229;;;;;;12672;;31;2666;35;24;;;158;1;;;80;;140;2503;18;210;46;295;79;140;;1317;273401;26;5181;156;;6;;;;566;264;2409;;;110;166;1400;208;14;;6;;;4;;;;;;2686;9;22;;;;455;24;19;4;;;876;;23;167;1;91;;;126;;10;;357;;286164;50888;125;21429;11298;184;;9078;979;;2985;4483;;;;;;;;36;;171;;;;;4;;;1741;;4;271;;179945;6;;18;11;;497;1919;3607;;130;8143;;;;;73;97;1914;;;8;1;5809;;2184;1;9678;;125366;;18;2290;11;;;;1;3;Paraguay;286164
Armenia;;;;;;;;;;;;;;560521;;;;;929;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;27684;700;;;3387;;;;;;;;;;;;;;;;10242;;;;;;;;;835;;;;;;;1198;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;36037;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3422;;;;;;;;;;2075;871;;;;5665;;;;;;;1220;;;;;;;;;Azerbaijan;560521
Aruba;;;;;;;;;;;;;;;;;;;;;;;;;;133;;;;;;;;;;;;;;;;;;435;;;4446;;;;;;;;1095;;;;;;;134;2829;;;;;;;;;;;;;;;;;;;;;;;285;;;;;;202;660;;;;;98;;;;;;;;439;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2885;;;48;;;;;;;;;;;;540;486;;183;;;;;;;;;;;;;178;;;;;;;;;;313;;;;;;;;;;;997;;;;;;;;;;;;;;63;;;;;;;;;553;;;;;2000;;;;;;;Colombia;4446
Australia;7893;1315;950;94;181;370;;15;12541;710;28;;23165;128;230;650;5562;345;829;5131;17;13;392;33;622;;26278;413;3960;3;1911;2465;15;7;10;23310;55;27916;1;3;12;;27782;108346;68683;1947;3146;;130;3562;307;43;55036;438;54;23918;15921;237;291;10006;63;3;42;1316;39901;10028;;1562;2556;2563;19;112;40344;9656;16385;3;317;10;9;168;125092;1625;447;142981;;92;4;36;276;17;11;492;53;;146;28679;480;78297;45651;19260;16334;54399;737;7358;260694;830;24485;2918;353;6121;462;1761;88;11315;9573;79925;32;83;1390;8;4843;151;153;468;80793;113;12;57450;18;20;8;19621;;1049;8;19;80;3419;;1212;528;11346;394;491;1238;100236;1252;310921;785;7;1431;367;3;3411;188;8707;;138;;343;4928;103492;74618;18951;85;183;28782;316;52;13159;12971;27;21;19;13;;47;9696;;;1090;195;49660;2797;195;29812;;4671;8185;1263;2113;61139;0;15025;52524;3005;2734;76;178;6612;10758;6538;26;18920;46518;4904;6;181;7354;1205;469;32718;18;;88;1218;16704;1005;1100221;1768;55234;;11366;383;1005;915;157398;;;314;2979;10498;United_Kingdom_of_Great_Britain_and_Northern_Ireland;1100221
