destination;Afghanistan;Albania;Algeria;American Samoa;Andorra;Angola;Anguilla;Antigua and Barbuda;Argentina;Armenia;Aruba;Australia;Austria;Azerbaijan;Bahamas;Bahrain;Bangladesh;Barbados;Belarus;Belgium;Belize;Benin;Bermuda;Bhutan;Bolivia (Plurinational State of);Bonaire, Sint Eustatius and Saba;Bosnia and Herzegovina;Botswana;Brazil;British Virgin Islands;Brunei Darussalam;Bulgaria;Burkina Faso;Burundi;Cabo Verde;Cambodia;Cameroon;Canada;Cayman Islands;Central African Republic;Chad;Channel Islands;Chile;China;China, Hong Kong Special Administrative Region;China, Macao Special Administrative Region;Colombia;Comoros;Congo;Cook Islands;Costa Rica;C?te d'Ivoire;Croatia;Cuba;Cura?ao;Cyprus;Czech Republic;Democratic People's Republic of Korea;Democratic Republic of the Congo;Denmark;Djibouti;Dominica;Dominican Republic;Ecuador;Egypt;El Salvador;Equatorial Guinea;Eritrea;Estonia;Ethiopia;Faeroe Islands;Falkland Islands (Malvinas);Fiji;Finland;France;French Guiana;French Polynesia;Gabon;Gambia;Georgia;Germany;Ghana;Gibraltar;Greece;Greenland;Grenada;Guadeloupe;Guam;Guatemala;Guinea;Guinea-Bissau;Guyana;Haiti;Holy See;Honduras;Hungary;Iceland;India;Indonesia;Iran (Islamic Republic of);Iraq;Ireland;Isle of Man;Israel;Italy;Jamaica;Japan;Jordan;Kazakhstan;Kenya;Kiribati;Kuwait;Kyrgyzstan;Lao People's Democratic Republic;Latvia;Lebanon;Lesotho;Liberia;Libya;Liechtenstein;Lithuania;Luxembourg;Madagascar;Malawi;Malaysia;Maldives;Mali;Malta;Marshall Islands;Martinique;Mauritania;Mauritius;Mayotte;Mexico;Micronesia (Federated States of);Monaco;Mongolia;Montenegro;Montserrat;Morocco;Mozambique;Myanmar;Namibia;Nauru;Nepal;Netherlands;New Caledonia;New Zealand;Nicaragua;Niger;Nigeria;Niue;Northern Mariana Islands;Norway;Oman;Pakistan;Palau;Panama;Papua New Guinea;Paraguay;Peru;Philippines;Poland;Portugal;Puerto Rico;Qatar;Republic of Korea;Republic of Moldova;R?union;Romania;Russian Federation;Rwanda;Saint Helena;Saint Kitts and Nevis;Saint Lucia;Saint Pierre and Miquelon;Saint Vincent and the Grenadines;Samoa;San Marino;Sao Tome and Principe;Saudi Arabia;Senegal;Serbia;Seychelles;Sierra Leone;Singapore;Sint Maarten (Dutch part);Slovakia;Slovenia;Solomon Islands;Somalia;South Africa;South Sudan;Spain;Sri Lanka;State of Palestine;Sudan;Suriname;Swaziland;Sweden;Switzerland;Syrian Arab Republic;Tajikistan;Thailand;The former Yugoslav Republic of Macedonia;Timor-Leste;Togo;Tokelau;Tonga;Trinidad and Tobago;Tunisia;Turkey;Turkmenistan;Turks and Caicos Islands;Tuvalu;Uganda;Ukraine;United Arab Emirates;United Kingdom of Great Britain and Northern Ireland;United Republic of Tanzania;United States of America;United States Virgin Islands;Uruguay;Uzbekistan;Vanuatu;Venezuela (Bolivarian Republic of);Viet Nam;Wallis and Futuna Islands;Western Sahara;Yemen;Zambia;Zimbabwe
Afghanistan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;37163;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;28460;;;;;;;;;;;;;;;;;;;;;1422;;;;;;;;
Albania;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1128;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;39315;;;;;;;;;;;;;;;;;;;;;11069;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;664;;;;;;;2441;;;;;;;;;2953;;;;;;;;;;;
Algeria;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;784;;;;;;1096;;;;;;;;;;;;;;;;;;2037;;10678;;;;1043;;;3182;;;;1685;;;;1726;;;3276;;;;;;1236;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1130;;;;;;;;;;5532;;;;;;;;;;16301;;;;;44616;2250;;;;;4329;;;;;;;;;;;;;;;;;1128;;1542;;;;;;;;128903;3334;;
American Samoa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;450;;;;;;;;;;;;;;;;;;;;;;;;;;;;;243;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;478;;;;;;;;;;;;;;889;;;;;239;;;;;;;;;;;16738;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24;1217;;;;;;;;;;;;3066;;;;;;208;;;;;
Andorra;;;;;;;;;494;;;59;;;;;;;;255;;;;;;;;;;;;;;;;;;;;;;;148;;;;;;;;;;;;;;;;;140;;;;;;;;;;;;;;;4875;;;;;;401;;;;;;;;;;;;;;;;;;;;;;;;349;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;549;;;;;;260;;;;;;;;;;;;;;;;392;;10722;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;28450;;;;;;55;86;;;;;;;;;;;;;;;;;;1085;;101;;105;;;;;;;;;
Angola;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6109;;;;;;21;;;;;;;;703;;;20;;;;;;;24340;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;224;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;166;;591;;;;;;;;;;;;;;;;;;;;;9070;;;;;;;;527;;;;;;;;5329;;;;;;;;;;;;4172;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;205;
Anguilla;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;108;;;;;;;;;;;;;;;;;;;;;;;;;600;;;;;;;;;;;;;;;;;;;;;;;;;;;;;356;;;;;;;;;;;;;;418;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;259;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;754;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;369;;466;380;;;;;;;;;;
Antigua and Barbuda;;;;;;;35;;;;5;7;;;2;;;266;;;12;;12;;;10;;;;86;;;;;;;;382;;;;;;118;;;;;;;;;;18;17;;;;;;;4180;1572;;9;;;;;80;;;;;37;5;;;;;73;27;;;;170;67;;;;;5702;29;;7;;;70;;;;;;;64;3515;18;;;;;;;;;49;;;;;;;;;;;;;;5;;;;5;;;;;1003;;;;;;;14;;11;;;36;;;;;0;;;;;;;;;47;;;;;;;;;420;596;;809;;;;;;;;;;21;;;;;40;;11;;;;40;;;;215;;;;;;;;634;;;;6;;;;;876;;2313;627;;;;35;;;;;;
Argentina;15;103;162;;1;15;;;;869;1;425;1583;;;19;;12;470;830;9;;;;294640;;;;37604;;2;456;18;;37;32;;819;;;;;195316;9954;7;;2672;;65;;190;1;1525;1711;;73;2773;22;;379;;7;1058;1478;368;115;;;76;50;;;1;109;6534;;;;;;8840;;22;1575;25;17;;;149;1;;;64;;103;1262;13;151;33;213;57;101;;862;171388;18;4205;113;;4;;;;438;191;1179;;;79;120;606;150;11;;4;;;3;;;;;;2243;7;16;;;;328;17;14;3;;;598;;17;141;1;66;;;91;;8;;249;;451769;127337;90;9839;6673;117;;7497;705;;1666;2915;;;;;;;;26;;124;;;;;3;;;1253;;3;195;;107663;4;;13;8;;316;1227;1703;;94;2304;;;;;53;70;982;;;6;1;5928;;1459;1;6907;;114433;;13;1918;8;;;;1;3
Armenia;;;;;;;;;;;;;;376174;;;;;492;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;30942;507;;;1372;;;;;;;;;;;;;;;;7411;;;;;;;;;604;;;;;;;867;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13469;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2476;;;;;;;;;;1502;630;;;;1990;;;;;;;883;;;;;;;;
