Country;code;immigration_1995;emmigration_1995;immigration_1990;emmigration_1990;immigration;emmigration;sold;population;norm_sold
Afghanistan;AFG;55794;3624661;50671;6724681;5123;-3100020;3105143;18110662;17146
Albania;ALB;63452;499488;58703;179490;4749;319998;-315249;3187784;-9889
Algeria;DZA;250204;964420;258623;906030;-8419;58390;-66809;28757788;-232
American_Samoa;ASM;22301;2749;20486;2152;1815;597;1218;53158;2292
Andorra;AND;39688;4205;38137;3802;1551;403;1148;63860;1798
Angola;AGO;33126;668750;27759;809942;5367;-141192;146559;13945205;1051
Antigua_and_Barbuda;ATG;16990;34626;11204;21819;5786;12807;-7021;68672;-10223
Argentina;ARG;1512538;477822;1565392;430322;-52854;47500;-100354;34828168;-288
Armenia;ARM;654786;900730;564662;899683;90124;1047;89077;3217349;2769
Aruba;ABW;19002;10650;11099;10597;7903;53;7850;80324;9773
Australia;AUS;4125550;342288;3948318;303406;177232;38882;138350;18072000;766
Austria;AUT;894893;488583;793239;505818;101654;-17235;118889;7948278;1496
Azerbaijan;AZE;340965;1712863;357078;1634120;-16113;78743;-94856;7685000;-1234
Bahamas;BHS;30680;28860;25319;25172;5361;3688;1673;280179;598
Bahrain;BHR;201392;29627;170701;12767;30691;16860;13831;563698;2454
Bangladesh;BGD;708325;5422948;641620;5451546;66705;-28598;95303;115169933;83
Barbados;BRB;20140;88333;18452;84917;1688;3416;-1728;265955;-649
Belarus;BLR;1186020;1750158;1248782;1769029;-62762;-18871;-43891;10194000;-430
Belgium;BEL;869676;375169;876683;365414;-7007;9755;-16762;10136811;-165
Belize;BLZ;32317;40811;29314;36114;3003;4697;-1694;206962;-818
Benin;BEN;88638;272881;63876;233642;24762;39239;-14477;5905552;-245
Bermuda;BMU;15980;42330;15030;71703;950;-29373;30323;59746;50754
Bhutan;BTN;25828;117872;21982;28366;3846;89506;-85660;534629;-16022
Bolivia_(Plurinational_State_of);BOL;82464;281728;72706;224687;9758;57041;-47283;7622334;-620
Bosnia_and_Herzegovina;BIH;68250;1373649;54542;865520;13708;508129;-494421;3829049;-12912
Botswana;BWA;35261;23304;25829;26037;9432;-2733;12165;1469173;829
Brazil;BRA;713984;747252;770323;500149;-56339;247103;-303442;162019889;-187
British_Virgin_Islands;VGB;8840;4242;7516;3094;1324;1148;176;19307;912
Brunei_Darussalam;BRN;83870;35310;72400;26323;11470;8987;2483;297112;836
Bulgaria;BGR;30380;652393;19077;617155;11303;35238;-23935;8406067;-284
Burkina_Faso;BFA;406520;1213662;326879;1018868;79641;194794;-115153;10089880;-1141
Burundi;BDI;214117;543908;273491;337199;-59374;206709;-266083;5987044;-4444
Cambodia;KHM;86480;406383;32682;354608;53798;51775;2023;10656145;19
Cameroon;CMR;197678;135912;212475;115311;-14797;20601;-35398;13599984;-260
Canada;CAN;4859011;1041921;4328215;997144;530796;44777;486019;29302311;1659
Cape_Verde;CPV;8922;107064;7144;91681;1778;15383;-13605;386288;-3521
Cayman_Islands;CYM;14243;803;9314;373;4929;430;4499;32161;13989
