Country,code,immigration_2000,emmigration_2000,immigration_1995,emmigration_1995,immigration,emmigration,sold,population,norm_sold,country_emm,max_emm,country_imm,max_imm
Afghanistan,AFG,60918,4539970,55794,3624661,5124,915309,-910185,20779957,-4380,Iran (Islamic Republic of),2087864,Tajikistan,32929
Albania,ALB,68202,822676,63452,499488,4750,323188,-318438,3089027,-10308,Greece,400253,Greece,46575
Algeria,DZA,241786,1024745,250204,964420,-8418,60325,-68743,31042238,-221,France,839920,Western Sahara,165911
American_Samoa,ASM,24115,3300,22301,2749,1814,551,1263,57816,2185,Samoa,2007,Samoa,17642
Andorra,AND,41238,5628,39688,4205,1550,1423,127,65390,195,Spain,3717,Spain,26841
Angola,AGO,38485,870404,33126,668750,5359,201654,-196295,16395477,-1197,Democratic Republic of the Congo,325733,Democratic Republic of the Congo,17735
Antigua_and_Barbuda,ATG,22746,48197,16990,34626,5756,13571,-7815,76007,-10281,United States of America,18324,Guyana,5317
Argentina,ARG,1459713,551769,1512538,477822,-52825,73947,-126772,36870796,-343,United States of America,125218,Paraguay,315086
Armenia,ARM,620649,865553,654786,900730,-34137,-35177,1040,3069597,34,Russian Federation,478856,Azerbaijan,525188
Aruba,ABW,26897,10911,19002,10650,7895,261,7634,90866,8402,United States of America,3814,Colombia,7043
Australia,AUS,4337890,382411,4125550,342288,212340,40123,172217,19153000,900,United Kingdom of Great Britain and Northern Ireland,104295,United Kingdom of Great Britain and Northern Ireland,1130210
Austria,AUT,996547,473599,894893,488583,101654,-14984,116638,8011566,1456,Germany,181487,Serbia,135065
Azerbaijan,AZE,325050,1628105,340965,1712863,-15915,-84758,68843,8048600,856,Russian Federation,841759,Armenia,188400
Bahamas,BHS,36041,33725,30680,28860,5361,4865,496,298045,167,United States of America,28076,Haiti,20628
Bahrain,BHR,232683,47711,201392,29627,31291,18084,13207,664610,1988,Bangladesh,20661,India,88904
Bangladesh,BGD,775021,5432953,708325,5422948,66696,10005,56691,127657862,45,India,3879114,Malaysia,159993
Barbados,BRB,21831,94115,20140,88333,1691,5782,-4091,271511,-1506,United States of America,52172,Saint Vincent and the Grenadines,4350
Belarus,BLR,1123275,1697219,1186020,1750158,-62745,-52939,-9806,9979610,-98,Russian Federation,930977,Russian Federation,708011
Belgium,BEL,837472,399119,869676,375169,-32204,23950,-56154,10251250,-547,France,136250,Italy,196101
Belize,BLZ,35321,47141,32317,40811,3004,6330,-3326,247310,-1344,United States of America,40151,Guatemala,16058
Benin,BEN,113401,320471,88638,272881,24763,47590,-22827,6865946,-332,Nigeria,143212,Niger,41294
Bermuda,BMU,16930,13873,15980,42330,950,-28457,29407,61833,47559,United States of America,8379,United Kingdom of Great Britain and Northern Ireland,4883
Bhutan,BTN,29673,120061,25828,117872,3845,2189,1656,591014,281,Nepal,111196,India,28128
Bolivia_(Plurinational_State_of),BOL,91453,342847,82464,281728,8989,61119,-52130,8418270,-619,Argentina,226137,Argentina,28095
Bosnia_and_Herzegovina,BIH,81959,1468394,68250,1373649,13709,94745,-81036,3751176,-2160,Croatia,430399,Croatia,33326
Botswana,BWA,48400,26393,35261,23304,13139,3089,10050,1643333,612,South Africa,17332,South Africa,13860
Brazil,BRA,657613,963876,713984,747252,-56371,216624,-272995,174790339,-156,Japan,254413,Portugal,213713
British_Virgin_Islands,VGB,10155,5430,8840,4242,1315,1188,127,20313,626,United States Virgin Islands,2727,Saint Kitts and Nevis,2100
Brunei_Darussalam,BRN,95333,44796,83870,35310,11463,9486,1977,333166,594,India,31057,Malaysia,45258
Bulgaria,BGR,41598,689584,30380,652393,11218,37191,-25973,8170172,-317,Turkey,447912,Russian Federation,10972
Burkina_Faso,BFA,485979,1234174,406520,1213662,79459,20512,58947,11607951,508,Cote d'Ivoire,1117062,Cote d'Ivoire,383695
Burundi,BDI,111921,738397,214117,543908,-102196,194489,-296685,6378871,-4651,United Republic of Tanzania,608669,Rwanda,66415
Cambodia,KHM,140279,454941,86480,406383,53799,48558,5241,12155241,44,Thailand,153382,Viet Nam,71963
Cameroon,CMR,182879,161121,197678,135912,-14799,25209,-40008,15513944,-257,France,39229,Nigeria,90495
Canada,CAN,5505346,1126223,4859011,1041921,646335,84302,562033,30685730,1832,United States of America,820771,United Kingdom of Great Britain and Northern Ireland,608742
Cape_Verde,CPV,10683,125299,8922,107064,1761,18235,-16474,428178,-3847,Portugal,44701,Sao Tome and Principe,3747
Cayman_Islands,CYM,19172,1259,14243,803,4929,456,4473,42305,10574,United Kingdom of Great Britain and Northern Ireland,1043,Jamaica,7454
Central_African_Republic,CAF,87922,55328,75910,49087,12012,6241,5771,3640421,159,Sudan,18639,Sudan,29587
Chad,TCD,98689,205856,83902,266971,14787,-61115,75902,8355654,909,Cameroon,82221,Cameroon,36353
Chile,CHL,177332,506404,142417,493255,34915,13149,21766,15342350,142,Argentina,205945,Argentina,45770
China,CHN,389735,5753739,344062,4900531,45673,853208,-807535,1262645000,-63,Hong Kong,1886037,Republic of Korea,134524
Colombia,COL,108894,1421921,106189,1202771,2705,219150,-216445,39629965,-546,Venezuela (Bolivarian Republic of),617182,Venezuela (Bolivarian Republic of),37200
Comoros,COM,12310,70493,12435,51284,-125,19209,-19334,542358,-3564,Mayotte,36203,Madagascar,10595
Congo,COG,299391,129315,185581,111228,113810,18087,95723,3127420,3061,France,51524,Democratic Republic of the Congo,183780
Costa_Rica,CRI,300336,103973,203856,83549,96480,20424,76056,3962369,1920,United States of America,71870,Nicaragua,230085
Cote_d'Ivoire,CIV,1946601,540814,2038795,452432,-92194,88382,-180576,16454660,-1097,Burkina Faso,383695,Burkina Faso,1117062
Croatia,HRV,480163,874862,563714,705881,-83551,168981,-252532,4468302,-5651,Serbia,305449,Bosnia and Herzegovina,430399
Cuba,CUB,15263,1027729,22432,908483,-7169,119246,-126415,11126423,-1136,United States of America,872716,Spain,5521
Cyprus,CYP,79394,153273,61451,162918,17943,-9645,27588,943288,2925,United Kingdom of Great Britain and Northern Ireland,75098,United Kingdom of Great Britain and Northern Ireland,16552
Czech_Republic,CZE,220789,399123,165592,330883,55197,68240,-13043,10255063,-127,Germany,100855,Slovakia,140506
Dem._Rep._Korea,PRK,32202,72057,31613,54859,589,17198,-16609,22929078,-72,Kazakhstan,45244,China,19511
Democratic_Republic_of_the_Congo,COD,617393,831179,1715920,528993,-1098527,302186,-1400713,47105830,-2973,Congo,183780,Angola,325733
Denmark,DNK,371026,217817,303108,207615,67918,10202,57716,5339616,1081,Sweden,38190,Turkey,30089
Djibouti,DJI,94491,9039,93804,6937,687,2102,-1415,717577,-197,Ethiopia,3258,Somalia,83230
Dominica,DMA,3225,47961,2704,44575,521,3386,-2865,69650,-4113,United States of America,15639,Haiti,873
Dominican_Republic,DOM,354141,880284,322076,657349,32065,222935,-190870,8471317,-2253,United States of America,687677,Haiti,228652
Ecuador,ECU,121958,438182,100213,318319,21745,119863,-98118,12681123,-773,United States of America,298626,Colombia,71556
Egypt,EGY,163927,1704547,157862,1488318,6065,216229,-210164,68831561,-305,Saudi Arabia,376493,State of Palestine,56745
El_Salvador,SLV,31586,928337,39351,911693,-7765,16644,-24409,5887930,-414,United States of America,817336,Honduras,9525
Equatorial_Guinea,GNQ,3650,55319,2934,41617,716,13702,-12986,606180,-2142,Gabon,41013,France,1903
Eritrea,ERI,11295,509988,11030,324794,265,185194,-184929,2292413,-8067,Sudan,435158,Somalia,1775
Estonia,EST,248999,142142,315177,129344,-66178,12798,-78976,1396985,-5653,Russian Federation,67055,Russian Federation,188970
Ethiopia,ETH,549918,442161,765390,818747,-215472,-376586,161114,66224809,244,Sudan,123478,Somalia,389419
Faeroe_Islands,FRO,3426,12408,2799,10013,627,2395,-1768,46738,-3782,Denmark,10636,Denmark,2528
Fiji,FJI,11120,131130,11396,105714,-276,25416,-25692,811011,-3167,Australia,46690,Australia,1489
Finland,FIN,134418,315543,97820,288270,36598,27273,9325,5176209,181,Sweden,195447,Russian Federation,57502
France,FRA,6278718,1524179,6087993,1324731,190725,199448,-8723,60912500,-14,Spain,174641,Algeria,839920
French_Polynesia,PYF,26321,4335,24611,3748,1710,587,1123,240681,467,New Caledonia,3593,France,20959
Gabon,GAB,190440,17885,148958,16472,41482,1413,40069,1228359,3262,France,8453,Equatorial Guinea,41013
Gambia,GMB,177198,39930,146646,38135,30552,1795,28757,1317708,2183,Spain,5866,Senegal,112746
Georgia,GEO,213606,967810,272021,953983,-58415,13827,-72242,4077131,-1771,Russian Federation,625743,Russian Federation,121909
Germany,DEU,8658910,3336533,7130259,3262488,1528651,74045,1454606,82211508,1770,United States of America,706704,Turkey,1649639
Ghana,GHA,179184,468283,241780,429141,-62596,39142,-101738,19278850,-527,Nigeria,90479,Togo,72060
Gibraltar,GIB,6791,8436,7115,10135,-324,-1699,1375,31081,4424,United Kingdom of Great Britain and Northern Ireland,7500,United Kingdom of Great Britain and Northern Ireland,3607
Greece,GRC,1111665,984654,857850,1011524,253815,-26870,280685,10805808,2598,Germany,353263,Albania,400253
Greenland,GRL,6629,13338,7235,11406,-606,1932,-2538,56200,-4516,Denmark,12489,Denmark,5849
Grenada,GRD,4355,63123,3570,53309,785,9814,-9029,102837,-8779,United States of America,29272,Trinidad and Tobago,1980
Guam,GUM,71382,2840,69255,2069,2127,771,1356,155323,874,Northern Mariana Islands,1382,Philippines,32625
Guatemala,GTM,48056,566298,156124,445693,-108068,120605,-228673,11589761,-1973,United States of America,480665,El Salvador,12037
Guinea,GIN,558348,350394,772910,365371,-214562,-14977,-199585,8240735,-2421,Cote d'Ivoire,114966,Sierra Leone,365828
Guinea-Bissau,GNB,18937,77537,26883,67065,-7946,10472,-18418,1201305,-1533,Senegal,23437,Senegal,8119
Guyana,GUY,7580,358038,5631,290543,1949,67495,-65546,746718,-8777,United States of America,211189,Suriname,2314
Haiti,HTI,23992,792805,20863,652701,3129,140104,-136975,8463802,-1618,United States of America,419317,Venezuela (Bolivarian Republic of),3397
Honduras,HND,28320,335077,149299,240281,-120979,94796,-215775,6574510,-3281,United States of America,282852,El Salvador,6574
Hong_Kong,HKG,2305464,683576,2152873,613929,152591,69647,82944,6665000,1245,Canada,237754,China,1886037
Hungary,HUN,290701,417766,313738,400679,-23037,17087,-40124,10210971,-392,United States of America,92017,Romania,146208
Iceland,ISL,15892,26077,12738,21311,3154,4766,-1612,281205,-573,Denmark,5955,Denmark,2302
India,IND,6286286,7952368,6824479,7208839,-538193,743529,-1281722,1056575548,-121,Pakistan,2161329,Bangladesh,3879114
Indonesia,IDN,262999,2334652,318970,1948968,-55971,385684,-441655,211513822,-208,Saudi Arabia,668666,Timor-Leste,142028
Iran_(Islamic_Republic_of),IRN,2638875,825062,2876948,739859,-238073,85203,-323276,65623397,-492,United States of America,283226,Afghanistan,2087864
Iraq,IRQ,188245,1161698,175951,1326446,12294,-164748,177042,23497589,754,Iran (Islamic Republic of),540400,State of Palestine,94124
Ireland,IRL,350552,817399,226892,858831,123660,-41432,165092,3805174,4339,United Kingdom of Great Britain and Northern Ireland,515544,United Kingdom of Great Britain and Northern Ireland,131924
Isle_of_Man,IMN,37337,7367,35239,9003,2098,-1636,3734,76942,4854,United Kingdom of Great Britain and Northern Ireland,6642,United Kingdom of Great Britain and Northern Ireland,34442
Israel,ISR,1532124,299659,1554408,286229,-22284,13430,-35714,6289000,-567,United States of America,109719,Morocco,166953
Italy,ITA,2121688,3103588,1774954,3248808,346734,-145220,491954,56942108,864,France,555528,Morocco,285569
Jamaica,JAM,22292,844604,20208,705014,2084,139590,-137506,2654698,-5179,United States of America,553827,United States of America,6668
Japan,JPN,1648891,702688,1358965,646478,289926,56210,233716,126843000,185,United States of America,347539,Republic of Korea,635317
Jordan,JOR,1925431,367275,1534882,337737,390549,29538,361011,5122495,7048,Saudi Arabia,95064,State of Palestine,1428251
Kazakhstan,KAZ,2871300,3566599,3245250,3309533,-373950,257066,-631016,14883626,-4239,Russian Federation,2571681,Russian Federation,2032883
Kenya,KEN,627427,307166,511762,266282,115665,40884,74781,31964557,234,United Kingdom of Great Britain and Northern Ireland,125340,Uganda,299871
Kiribati,KIR,1804,4047,1746,4257,58,-210,268,84405,318,Nauru,1006,Nauru,1055
