Country,code,immigration,emigration,sold,population,norm_sold
Aruba,ABW,34486,16724,17762,106766,0,166363824
Afghanistan,AFG,364151,4843117,-4478966,38928341,-0,115056688
Angola,AGO,89974,555403,-465429,32866268,-0,014161298
Albania,ALB,51235,1122910,-1071675,2837743,-0,377650478
Andorra,AND,39552,7571,31981,77265,0,413913156
United_Arab_Emirates,ARE,8005345,136557,7868788,9890400,0,79559856
Argentina,ARG,2042145,940273,1101872,45376763,0,024282737
Armenia,ARM,169744,937299,-767555,2963234,-0,259026118
American_Samoa,ASM,22660,2035,20625,55197,0,373661612
Antigua_and_Barbuda,ATG,27688,65489,-37801,97928,-0,386008088
Australia,AUS,6684394,526579,6157815,25687041,0,239724576
Austria,AUT,1492374,575828,916546,8917205,0,102784
Azerbaijan,AZE,261751,1146769,-885018,10110116,-0,087537868
Burundi,BDI,262969,284187,-21218,11890781,-0,001784408
Belgium,BEL,1371402,530990,840412,11555997,0,072725183
Benin,BEN,208093,615852,-407759,12123198,-0,033634607
Burkina_Faso,BFA,658342,1453378,-795036,20903278,-0,038034035
Bangladesh,BGD,1173775,7205410,-6031635,164689383,-0,03662431
Bulgaria,BGR,100916,1176390,-1075474,6927288,-0,15525181
Bahrain,BHR,696373,55964,640409,1701583,0,376360718
Bahamas,BHS,58298,40095,18203,393248,0,046288856
Bosnia_and_Herzegovina,BIH,33950,1650772,-1616822,3280815,-0,492811085
Belarus,BLR,1082594,1485323,-402729,9398861,-0,042848703
Belize,BLZ,52229,59884,-7655,397621,-0,019252001
Bermuda,BMU,18086,17046,1040,63903,0,016274666
Bolivia_(Plurinational_State_of),BOL,139511,799605,-660094,11673029,-0,056548647
Brazil,BRA,706609,1544024,-837415,212559409,-0,003939675
Barbados,BRB,20397,98464,-78067,287371,-0,271659284
Brunei_Darussalam,BRN,101707,46237,55470,437483,0,126793498
Bhutan,BTN,47189,44190,2999,771612,0,003886668
Botswana,BWA,141110,58346,82764,2351625,0,035194387
Central_African_Republic,CAF,58076,440745,-382669,4829764,-0,079231408
Canada,CAN,7826507,1286176,6540331,38005238,0,172090252
Switzerland,CHE,2301309,664557,1636752,8636896,0,189506971
Chile,CHL,469436,612409,-142973,19116209,-0,00747915
China,CHN,813787,9546065,-8732278,1402112000,-0,006227946
Cote_d'Ivoire,CIV,2095575,850105,1245470,26378275,0,047215749
Cameroon,CMR,379375,328604,50771,26545864,0,001912577
Democratic_Republic_of_the_Congo,COD,421668,1403757,-982089,89561404,-0,010965538
Congo,COG,381703,220501,161202,5518092,0,029213359
Colombia,COL,132398,2638852,-2506454,50882884,-0,049259275
Comoros,COM,11204,116516,-105312,869595,-0,121104652
Cape_Verde,CPV,13416,165732,-152316,555988,-0,273955553
Costa_Rica,CRI,407450,133185,274265,5094114,0,053839588
Cuba,CUB,12494,1426380,-1413886,11326616,-0,124828634
Cayman_Islands,CYM,23656,1569,22087,65720,0,336077298
Cyprus,CYP,194497,177185,17312,1207361,0,014338711
Czech_Republic,CZE,405093,932582,-527489,10698896,-0,049303124
Germany,DEU,12003643,4045411,7958232,83240525,0,09560526
Djibouti,DJI,105630,15927,89703,988002,0,090792326
Dominica,DMA,5437,69817,-64380,71991,-0,894278451
Denmark,DNK,572520,250675,321845,5831404,0,055191683
Dominican_Republic,DOM,407095,1304493,-897398,10847904,-0,082725474
Algeria,DZA,227417,1763771,-1536354,43851043,-0,035035746
Ecuador,ECU,316204,1101923,-785719,17643060,-0,044534168
Egypt,EGY,477125,3268970,-2791845,102334403,-0,027281588
Eritrea,ERI,13715,499916,-486201,,0
Spain,ESP,5849739,1251004,4598735,47351567,0,097118961
Estonia,EST,202278,198042,4236,1331057,0,003182433
Ethiopia,ETH,1003041,753492,249549,114963583,0,002170679
Finland,FIN,314947,295077,19870,5530719,0,003592661
Fiji,FJI,11975,204934,-192959,896444,-0,215249363
France,FRA,7784418,2145975,5638443,67391582,0,083666874
Faeroe_Islands,FRO,5202,14284,-9082,48865,-0,185858999
Micronesia_(Federated_States_of),FSM,960,19798,-18838,115021,-0,163778788
Gabon,GAB,261342,63209,198133,2225728,0,089019413
United_Kingdom_of_Great_Britain_and_Northern_Ireland,GBR,8493574,4917460,3576114,67215293,0,053203874
Georgia,GEO,165141,838430,-673289,3714000,-0,18128406
Ghana,GHA,306873,801710,-494837,31072945,-0,015925011
Gibraltar,GIB,8741,13065,-4324,33691,-0,128342881
Guinea,GIN,222972,426941,-203969,13132792,-0,015531275
Gambia,GMB,186955,89639,97316,2416664,0,040268734
Guinea-Bissau,GNB,21642,101828,-80186,1967998,-0,04074496
Equatorial_Guinea,GNQ,8746,81029,-72283,1402985,-0,051520864
Greece,GRC,1242514,871643,370871,10715549,0,034610546
Grenada,GRD,4823,65812,-60989,112519,-0,542032901
Greenland,GRL,5727,17552,-11825,56367,-0,209785868
Guatemala,GTM,76258,1017517,-941259,16858333,-0,055833456
Guam,GUM,73602,2144,71458,168783,0,423372022
Guyana,GUY,14507,460286,-445779,786559,-0,566745788
Hong_Kong,HKG,2806766,1041264,1765502,7481800,0,235972894
Honduras,HND,27931,648520,-620589,9904608,-0,062656594
Croatia,HRV,556944,865147,-308203,4047200,-0,076152155
Haiti,HTI,36711,1195240,-1158529,11402533,-0,101602775
Hungary,HUN,440150,595937,-155787,9749763,-0,015978542
Indonesia,IDN,291093,3876739,-3585646,273523621,-0,013109091
Isle_of_Man,IMN,43066,10957,32109,85032,0,377610782
India,IND,5138790,15575724,-10436934,1380004385,-0,007562972
Ireland,IRL,746260,882022,-135762,4994724,-0,027181081
Iran_(Islamic_Republic_of),IRN,2484128,1123383,1360745,83992953,0,016200704
Iraq,IRQ,328017,1479966,-1151949,40222503,-0,028639416
Iceland,ISL,37522,38496,-974,366425,-0,002658116
Israel,ISR,1406027,342585,1063442,9216900,0,115379574
Italy,ITA,5788875,2900924,2887951,59554023,0,048492962
Jamaica,JAM,20697,1067455,-1046758,2961161,-0,353495808
Jordan,JOR,3109064,699719,2409345,10203140,0,236137601
Japan,JPN,1959777,797496,1162281,125836021,0,009236473
Kazakhstan,KAZ,3546778,4075738,-528960,18754440,-0,028204521
Kenya,KEN,1023927,455889,568038,53771300,0,010563963
Kyrgyzstan,KGZ,199981,760847,-560866,6591600,-0,085087991
Cambodia,KHM,71024,1187142,-1116118,16718971,-0,066757577
Kiribati,KIR,2644,4717,-2073,119446,-0,017355123
Saint_Kitts_and_Nevis,KNA,3521,39132,-35611,53192,-0,669480373
Republic_of_Korea,KOR,1283629,2345840,-1062211,51780579,-0,020513695
Kuwait,KWT,2751639,187871,2563768,4270563,0,600334897
Lao_People's_Democratic_Republic,LAO,17933,1345075,-1327142,7275556,-0,182411076
Lebanon,LBN,1996163,798140,1198023,6825442,0,175523138
Liberia,LBR,108166,276630,-168464,5057677,-0,033308572
Libya,LBY,771146,141623,629523,6871287,0,091616461
Saint_Lucia,LCA,8296,55414,-47118,183629,-0,256593457
Liechtenstein,LIE,23089,3870,19219,38137,0,503946299
Sri_Lanka,LKA,36850,1637385,-1600535,21919000,-0,073020439
Lesotho,LSO,3932,363763,-359831,2142252,-0,167968568
Lithuania,LTU,135699,544120,-408421,2794700,-0,146141267
Luxembourg,LUX,248964,61058,187906,632275,0,297190305
Latvia,LVA,263126,337678,-74552,1901548,-0,039205952
Macao,MAC,318113,140395,177718,649342,0,273689366
Morocco,MAR,72288,2834641,-2762353,36910558,-0,074839102
Monaco,MCO,10795,28626,-17831,39244,-0,45436245
Republic_of_Moldova,MDA,138431,888610,-750179,2617820,-0,286566303
Madagascar,MDG,23463,169984,-146521,27691019,-0,005291282
Maldives,MDV,88681,2844,85837,540542,0,158798021
Mexico,MEX,1188870,12339062,-11150192,464554123,-0,024001922
Marshall_Islands,MHL,2924,6901,-3977,128932753,-3,08455E-05
